Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,7130,7134,7127,7127,0.97
20.04.2020 00:01:00.000 GMT+0100,7127,7137,7127,7137,0.8125
20.04.2020 00:02:00.000 GMT+0100,7137,7139,7128,7134,1.2055
20.04.2020 00:03:00.000 GMT+0100,7134,7134,7131,7131,0.82
20.04.2020 00:04:00.000 GMT+0100,7131,7135,7131,7134,0.735
20.04.2020 00:05:00.000 GMT+0100,7134,7135,7131,7131,0.7528
20.04.2020 00:06:00.000 GMT+0100,7131,7134,7131,7133,0.8175
20.04.2020 00:07:00.000 GMT+0100,7133,7142,7133,7141,0.84
20.04.2020 00:08:00.000 GMT+0100,7142,7142,7134,7137,0.955
20.04.2020 00:09:00.000 GMT+0100,7137,7140,7134,7136,1.0625
20.04.2020 00:10:00.000 GMT+0100,7134,7139,7134,7137,1.0275
20.04.2020 00:11:00.000 GMT+0100,7137,7138,7135,7136,0.6675
20.04.2020 00:12:00.000 GMT+0100,7136,7136,7132,7134,0.6652
20.04.2020 00:13:00.000 GMT+0100,7134,7134,7129,7132,0.5625
20.04.2020 00:14:00.000 GMT+0100,7132,7134,7128,7128,0.7851
20.04.2020 00:15:00.000 GMT+0100,7128,7131,7128,7130,0.595
20.04.2020 00:16:00.000 GMT+0100,7130,7130,7128,7128,0.4825
20.04.2020 00:17:00.000 GMT+0100,7128,7128,7123,7125,0.5958
20.04.2020 00:18:00.000 GMT+0100,7125,7125,7122,7123,1.0725
20.04.2020 00:19:00.000 GMT+0100,7123,7132,7122,7127,1.29
20.04.2020 00:20:00.000 GMT+0100,7127,7131,7127,7131,0.9525
20.04.2020 00:21:00.000 GMT+0100,7129,7134,7128,7128,1.1475
20.04.2020 00:22:00.000 GMT+0100,7128,7131,7126,7128,1.0275
20.04.2020 00:23:00.000 GMT+0100,7128,7128,7122,7124,0.4928
20.04.2020 00:24:00.000 GMT+0100,7124,7124,7116,7117,0.873
20.04.2020 00:25:00.000 GMT+0100,7117,7122,7117,7122,1.2675
20.04.2020 00:26:00.000 GMT+0100,7122,7122,7120,7120,1.2675
20.04.2020 00:27:00.000 GMT+0100,7120,7123,7119,7120,1.2075
20.04.2020 00:28:00.000 GMT+0100,7121,7121,7118,7120,1.1175
20.04.2020 00:29:00.000 GMT+0100,7120,7121,7119,7120,0.6075
20.04.2020 00:30:00.000 GMT+0100,7120,7124,7119,7123,1.4325
20.04.2020 00:31:00.000 GMT+0100,7122,7124,7121,7122,1.365
20.04.2020 00:32:00.000 GMT+0100,7122,7123,7121,7121,0.6675
20.04.2020 00:33:00.000 GMT+0100,7121,7121,7118,7119,1.1775
20.04.2020 00:34:00.000 GMT+0100,7119,7121,7119,7121,1.32
20.04.2020 00:35:00.000 GMT+0100,7121,7121,7118,7119,1.0875
20.04.2020 00:36:00.000 GMT+0100,7119,7119,7118,7118,1.5375
20.04.2020 00:37:00.000 GMT+0100,7118,7121,7115,7117,1.1775
20.04.2020 00:38:00.000 GMT+0100,7116,7117,7071,7071,1.5144
20.04.2020 00:39:00.000 GMT+0100,7071,7080,7064,7077,1.6786
20.04.2020 00:40:00.000 GMT+0100,7077,7082,7072,7078,1.2375
20.04.2020 00:41:00.000 GMT+0100,7078,7091,7078,7086,1.0575
20.04.2020 00:42:00.000 GMT+0100,7086,7089,7084,7089,0.705
20.04.2020 00:43:00.000 GMT+0100,7089,7089,7081,7081,0.5429
20.04.2020 00:44:00.000 GMT+0100,7081,7081,7079,7079,0.6077
20.04.2020 00:45:00.000 GMT+0100,7079,7079,7069,7072,0.7019
20.04.2020 00:46:00.000 GMT+0100,7072,7080,7072,7076,1.11
20.04.2020 00:47:00.000 GMT+0100,7076,7085,7076,7080,0.94
20.04.2020 00:48:00.000 GMT+0100,7080,7081,7074,7076,0.6535
20.04.2020 00:49:00.000 GMT+0100,7076,7079,7076,7078,1.0275
20.04.2020 00:50:00.000 GMT+0100,7078,7089,7078,7087,1.0725
20.04.2020 00:51:00.000 GMT+0100,7087,7087,7083,7083,0.75
20.04.2020 00:52:00.000 GMT+0100,7083,7083,7078,7078,0.7502
20.04.2020 00:53:00.000 GMT+0100,7078,7079,7075,7077,0.8401
20.04.2020 00:54:00.000 GMT+0100,7077,7079,7076,7079,0.885
20.04.2020 00:55:00.000 GMT+0100,7079,7079,7073,7073,0.91
20.04.2020 00:56:00.000 GMT+0100,7073,7074,7070,7070,1.2101
20.04.2020 00:57:00.000 GMT+0100,7070,7076,7070,7074,1.315
20.04.2020 00:58:00.000 GMT+0100,7074,7077,7072,7076,1.0775
20.04.2020 00:59:00.000 GMT+0100,7076,7076,7071,7074,1.1625
20.04.2020 01:00:00.000 GMT+0100,7074,7076,7070,7070,1.1909
20.04.2020 01:01:00.000 GMT+0100,7070,7071,7064,7066,0.5548
20.04.2020 01:02:00.000 GMT+0100,7066,7066,7045,7058,1.1627
20.04.2020 01:03:00.000 GMT+0100,7059,7060,7053,7060,0.8067
20.04.2020 01:04:00.000 GMT+0100,7060,7062,7057,7059,1.2975
20.04.2020 01:05:00.000 GMT+0100,7059,7060,7055,7059,1.0829
20.04.2020 01:06:00.000 GMT+0100,7059,7069,7059,7069,1.095
20.04.2020 01:07:00.000 GMT+0100,7069,7081,7069,7078,1.275
20.04.2020 01:08:00.000 GMT+0100,7078,7080,7073,7074,1.23
20.04.2020 01:09:00.000 GMT+0100,7074,7082,7073,7078,1.1325
20.04.2020 01:10:00.000 GMT+0100,7078,7078,7067,7068,1.2101
20.04.2020 01:11:00.000 GMT+0100,7068,7078,7068,7073,1.135
20.04.2020 01:12:00.000 GMT+0100,7073,7079,7073,7076,1.1775
20.04.2020 01:13:00.000 GMT+0100,7076,7077,7074,7076,0.84
20.04.2020 01:14:00.000 GMT+0100,7077,7085,7076,7081,0.975
20.04.2020 01:15:00.000 GMT+0100,7081,7082,7081,7082,0.54
20.04.2020 01:16:00.000 GMT+0100,7082,7090,7082,7086,1.11
20.04.2020 01:17:00.000 GMT+0100,7087,7091,7087,7089,1.0575
20.04.2020 01:18:00.000 GMT+0100,7089,7090,7086,7090,0.9
20.04.2020 01:19:00.000 GMT+0100,7090,7090,7086,7086,0.765
20.04.2020 01:20:00.000 GMT+0100,7086,7101,7086,7100,0.765
20.04.2020 01:21:00.000 GMT+0100,7100,7100,7096,7096,0.885
20.04.2020 01:22:00.000 GMT+0100,7096,7097,7094,7095,0.4054
20.04.2020 01:23:00.000 GMT+0100,7095,7104,7094,7099,0.9825
20.04.2020 01:24:00.000 GMT+0100,7099,7099,7094,7096,0.69
20.04.2020 01:25:00.000 GMT+0100,7096,7101,7094,7094,1.05
20.04.2020 01:26:00.000 GMT+0100,7094,7097,7093,7096,0.72
20.04.2020 01:27:00.000 GMT+0100,7096,7096,7093,7093,0.615
20.04.2020 01:28:00.000 GMT+0100,7093,7093,7086,7086,0.66
20.04.2020 01:29:00.000 GMT+0100,7086,7089,7086,7089,0.8228
20.04.2020 01:30:00.000 GMT+0100,7089,7097,7087,7096,0.9929
20.04.2020 01:31:00.000 GMT+0100,7096,7097,7091,7094,1.02
20.04.2020 01:32:00.000 GMT+0100,7094,7099,7094,7099,0.75
20.04.2020 01:33:00.000 GMT+0100,7099,7101,7092,7095,0.9553
20.04.2020 01:34:00.000 GMT+0100,7095,7098,7094,7098,0.995
20.04.2020 01:35:00.000 GMT+0100,7097,7101,7097,7099,0.84
20.04.2020 01:36:00.000 GMT+0100,7099,7100,7098,7100,0.6975
20.04.2020 01:37:00.000 GMT+0100,7100,7108,7100,7106,1.14
20.04.2020 01:38:00.000 GMT+0100,7107,7107,7103,7105,0.6507
20.04.2020 01:39:00.000 GMT+0100,7105,7107,7105,7107,0.69
20.04.2020 01:40:00.000 GMT+0100,7107,7107,7101,7101,0.66
20.04.2020 01:41:00.000 GMT+0100,7101,7104,7099,7104,0.84
20.04.2020 01:42:00.000 GMT+0100,7104,7106,7099,7106,0.8108
20.04.2020 01:43:00.000 GMT+0100,7106,7106,7103,7104,0.9975
20.04.2020 01:44:00.000 GMT+0100,7104,7104,7101,7102,0.7625
20.04.2020 01:45:00.000 GMT+0100,7102,7102,7100,7100,0.5178
20.04.2020 01:46:00.000 GMT+0100,7100,7104,7100,7104,0.7975
20.04.2020 01:47:00.000 GMT+0100,7104,7107,7102,7107,1.035
20.04.2020 01:48:00.000 GMT+0100,7107,7112,7107,7109,1.3275
20.04.2020 01:49:00.000 GMT+0100,7109,7119,7109,7116,1.3125
20.04.2020 01:50:00.000 GMT+0100,7116,7118,7112,7115,1.2675
20.04.2020 01:51:00.000 GMT+0100,7115,7120,7114,7120,1.1325
20.04.2020 01:52:00.000 GMT+0100,7120,7126,7120,7125,1.035
20.04.2020 01:53:00.000 GMT+0100,7125,7125,7123,7125,0.6975
20.04.2020 01:54:00.000 GMT+0100,7125,7126,7116,7126,0.98
20.04.2020 01:55:00.000 GMT+0100,7126,7127,7122,7123,1.215
20.04.2020 01:56:00.000 GMT+0100,7123,7124,7116,7116,1.08
20.04.2020 01:57:00.000 GMT+0100,7117,7122,7116,7122,1.2825
20.04.2020 01:58:00.000 GMT+0100,7122,7122,7117,7117,1.0875
20.04.2020 01:59:00.000 GMT+0100,7117,7117,7113,7117,0.4262
20.04.2020 02:00:00.000 GMT+0100,7117,7121,7117,7118,1.305
20.04.2020 02:01:00.000 GMT+0100,7118,7120,7115,7119,1.1101
20.04.2020 02:02:00.000 GMT+0100,7119,7119,7117,7118,1.3425
