Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,181,182,181,181,0.278
20.04.2020 00:01:00.000 GMT+0100,181,182,181,182,0.2
20.04.2020 00:02:00.000 GMT+0100,181,182,181,182,0.1863
20.04.2020 00:03:00.000 GMT+0100,181,182,181,181,0.1925
20.04.2020 00:04:00.000 GMT+0100,182,182,181,182,0.234
20.04.2020 00:05:00.000 GMT+0100,181,182,181,181,0.0555
20.04.2020 00:06:00.000 GMT+0100,182,182,181,182,0.026
20.04.2020 00:07:00.000 GMT+0100,182,182,182,182,0.044
20.04.2020 00:08:00.000 GMT+0100,182,182,182,182,0.1095
20.04.2020 00:09:00.000 GMT+0100,182,182,182,182,0.1225
20.04.2020 00:10:00.000 GMT+0100,182,182,182,182,0.0595
20.04.2020 00:11:00.000 GMT+0100,182,182,182,182,0.005
20.04.2020 00:12:00.000 GMT+0100,182,182,182,182,0.0943
20.04.2020 00:13:00.000 GMT+0100,182,182,182,182,0.001
20.04.2020 00:14:00.000 GMT+0100,182,182,182,182,0.083
20.04.2020 00:15:00.000 GMT+0100,182,182,182,182,0.0362
20.04.2020 00:16:00.000 GMT+0100,182,182,181,181,0.0227
20.04.2020 00:17:00.000 GMT+0100,181,181,181,181,0.1243
20.04.2020 00:18:00.000 GMT+0100,181,181,181,181,0.0787
20.04.2020 00:19:00.000 GMT+0100,181,181,181,181,0.1425
20.04.2020 00:20:00.000 GMT+0100,181,181,181,181,0.1335
20.04.2020 00:21:00.000 GMT+0100,182,182,181,181,0.175
20.04.2020 00:22:00.000 GMT+0100,181,182,181,181,0.32
20.04.2020 00:23:00.000 GMT+0100,181,181,181,181,0.04
20.04.2020 00:24:00.000 GMT+0100,181,181,181,181,0.0885
20.04.2020 00:25:00.000 GMT+0100,181,181,181,181,0.1115
20.04.2020 00:26:00.000 GMT+0100,181,181,181,181,0.105
20.04.2020 00:27:00.000 GMT+0100,181,181,181,181,0.06
20.04.2020 00:28:00.000 GMT+0100,181,181,181,181,0.1875
20.04.2020 00:29:00.000 GMT+0100,181,181,181,181,0.0085
20.04.2020 00:30:00.000 GMT+0100,181,181,181,181,0.075
20.04.2020 00:31:00.000 GMT+0100,181,181,181,181,0.2525
20.04.2020 00:32:00.000 GMT+0100,181,181,181,181,0.085
20.04.2020 00:33:00.000 GMT+0100,181,181,181,181,0.0555
20.04.2020 00:34:00.000 GMT+0100,181,181,181,181,0.001
20.04.2020 00:35:00.000 GMT+0100,181,181,181,181,0.1708
20.04.2020 00:36:00.000 GMT+0100,181,181,180,180,0.0772
20.04.2020 00:37:00.000 GMT+0100,181,181,180,180,0.167
20.04.2020 00:38:00.000 GMT+0100,180,180,179,179,0.3635
20.04.2020 00:39:00.000 GMT+0100,179,180,179,179,0.5495
20.04.2020 00:40:00.000 GMT+0100,179,180,179,179,0.552
20.04.2020 00:41:00.000 GMT+0100,180,180,179,180,0.464
20.04.2020 00:42:00.000 GMT+0100,180,180,179,180,0.093
20.04.2020 00:43:00.000 GMT+0100,180,180,179,179,0.206
20.04.2020 00:44:00.000 GMT+0100,179,179,179,179,0.2345
20.04.2020 00:45:00.000 GMT+0100,179,179,178,178,0.5347
20.04.2020 00:46:00.000 GMT+0100,178,179,178,178,0.4975
20.04.2020 00:47:00.000 GMT+0100,178,179,178,178,0.3285
20.04.2020 00:48:00.000 GMT+0100,179,179,178,178,0.3203
20.04.2020 00:49:00.000 GMT+0100,178,178,178,178,0.149
20.04.2020 00:50:00.000 GMT+0100,178,179,178,179,0.2175
20.04.2020 00:51:00.000 GMT+0100,179,179,179,179,0.1645
20.04.2020 00:52:00.000 GMT+0100,179,179,179,179,0.2035
20.04.2020 00:53:00.000 GMT+0100,179,179,179,179,0.1795
20.04.2020 00:54:00.000 GMT+0100,179,179,179,179,0.213
20.04.2020 00:55:00.000 GMT+0100,179,179,179,179,0.2675
20.04.2020 00:56:00.000 GMT+0100,179,179,179,179,0.319
20.04.2020 00:57:00.000 GMT+0100,179,179,179,179,0.206
20.04.2020 00:58:00.000 GMT+0100,179,179,179,179,0.1685
20.04.2020 00:59:00.000 GMT+0100,179,179,179,179,0.228
20.04.2020 01:00:00.000 GMT+0100,179,179,179,179,0.172
20.04.2020 01:01:00.000 GMT+0100,178,179,178,178,0.299
20.04.2020 01:02:00.000 GMT+0100,178,178,177,178,0.4557
20.04.2020 01:03:00.000 GMT+0100,178,178,177,178,0.3395
20.04.2020 01:04:00.000 GMT+0100,178,178,178,178,0.2375
20.04.2020 01:05:00.000 GMT+0100,178,178,177,178,0.3655
20.04.2020 01:06:00.000 GMT+0100,178,178,178,178,0.25
20.04.2020 01:07:00.000 GMT+0100,178,179,178,178,0.2985
20.04.2020 01:08:00.000 GMT+0100,178,179,178,178,0.2905
20.04.2020 01:09:00.000 GMT+0100,178,179,178,179,0.4255
20.04.2020 01:10:00.000 GMT+0100,179,179,178,178,0.3125
20.04.2020 01:11:00.000 GMT+0100,178,179,178,179,0.202
20.04.2020 01:12:00.000 GMT+0100,179,179,179,179,0.206
20.04.2020 01:13:00.000 GMT+0100,179,179,179,179,0.0935
20.04.2020 01:14:00.000 GMT+0100,179,179,179,179,0.195
20.04.2020 01:15:00.000 GMT+0100,179,179,179,179,0.3
20.04.2020 01:16:00.000 GMT+0100,179,180,179,180,0.339
20.04.2020 01:17:00.000 GMT+0100,180,180,180,180,0.32
