Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,0.86983,0.86988,0.86983,0.86986,62.01
20.04.2020 00:01:00.000 GMT+0100,0.86986,0.86993,0.86986,0.86987,42.93
20.04.2020 00:02:00.000 GMT+0100,0.86987,0.86989,0.86987,0.86989,17.75
20.04.2020 00:03:00.000 GMT+0100,0.86987,0.86990,0.86985,0.86990,30.69
20.04.2020 00:04:00.000 GMT+0100,0.86991,0.86993,0.86990,0.86992,14
20.04.2020 00:05:00.000 GMT+0100,0.86993,0.86993,0.86989,0.86991,27.69
20.04.2020 00:06:00.000 GMT+0100,0.86988,0.86988,0.86985,0.86986,42.77
20.04.2020 00:07:00.000 GMT+0100,0.86986,0.86987,0.86985,0.86987,10.5
20.04.2020 00:08:00.000 GMT+0100,0.86986,0.86988,0.86986,0.86988,2
20.04.2020 00:09:00.000 GMT+0100,0.86989,0.87002,0.86989,0.86997,75.63
20.04.2020 00:10:00.000 GMT+0100,0.86997,0.87005,0.86997,0.87001,86.95
20.04.2020 00:11:00.000 GMT+0100,0.87001,0.87001,0.86994,0.86995,120.55
20.04.2020 00:12:00.000 GMT+0100,0.86995,0.86996,0.86993,0.86994,25.6
20.04.2020 00:13:00.000 GMT+0100,0.86993,0.86996,0.86990,0.86994,48.48
20.04.2020 00:14:00.000 GMT+0100,0.86997,0.87003,0.86995,0.86995,56.79
20.04.2020 00:15:00.000 GMT+0100,0.86995,0.86995,0.86991,0.86994,92.37
20.04.2020 00:16:00.000 GMT+0100,0.86996,0.86997,0.86996,0.86997,16.3
20.04.2020 00:17:00.000 GMT+0100,0.87000,0.87000,0.86993,0.86997,115.81
20.04.2020 00:18:00.000 GMT+0100,0.86997,0.87001,0.86997,0.87001,57.77
20.04.2020 00:19:00.000 GMT+0100,0.87001,0.87005,0.87001,0.87001,34.22
20.04.2020 00:20:00.000 GMT+0100,0.87001,0.87005,0.87001,0.87002,66.65
20.04.2020 00:21:00.000 GMT+0100,0.87001,0.87009,0.87001,0.87003,79.07
