Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,1.08675,1.08676,1.08667,1.08673,31.9
20.04.2020 00:01:00.000 GMT+0100,1.08673,1.08684,1.08671,1.08682,38.89
20.04.2020 00:02:00.000 GMT+0100,1.08682,1.08685,1.08677,1.08677,29.08
20.04.2020 00:03:00.000 GMT+0100,1.08677,1.08681,1.08674,1.08680,51.72
20.04.2020 00:04:00.000 GMT+0100,1.08680,1.08684,1.08677,1.08682,26.94
20.04.2020 00:05:00.000 GMT+0100,1.08682,1.08683,1.08677,1.08678,54.82
20.04.2020 00:06:00.000 GMT+0100,1.08679,1.08679,1.08671,1.08673,31.4
20.04.2020 00:07:00.000 GMT+0100,1.08675,1.08675,1.08674,1.08674,0.57
20.04.2020 00:08:00.000 GMT+0100,1.08673,1.08679,1.08673,1.08678,38.89
20.04.2020 00:09:00.000 GMT+0100,1.08679,1.08702,1.08676,1.08697,65.2
20.04.2020 00:10:00.000 GMT+0100,1.08697,1.08707,1.08696,1.08702,67.53
20.04.2020 00:11:00.000 GMT+0100,1.08702,1.08705,1.08697,1.08697,73.9
20.04.2020 00:12:00.000 GMT+0100,1.08696,1.08696,1.08688,1.08690,65.36
20.04.2020 00:13:00.000 GMT+0100,1.08691,1.08691,1.08675,1.08677,69.88
20.04.2020 00:14:00.000 GMT+0100,1.08679,1.08685,1.08679,1.08681,107.56
20.04.2020 00:15:00.000 GMT+0100,1.08681,1.08681,1.08672,1.08672,64.41
20.04.2020 00:16:00.000 GMT+0100,1.08672,1.08673,1.08670,1.08672,13.56
20.04.2020 00:17:00.000 GMT+0100,1.08674,1.08680,1.08672,1.08675,48.68
20.04.2020 00:18:00.000 GMT+0100,1.08675,1.08680,1.08675,1.08679,8.59
20.04.2020 00:19:00.000 GMT+0100,1.08679,1.08682,1.08677,1.08678,9.68
20.04.2020 00:20:00.000 GMT+0100,1.08679,1.08683,1.08677,1.08678,13.27
20.04.2020 00:21:00.000 GMT+0100,1.08677,1.08686,1.08677,1.08683,23.25
20.04.2020 00:22:00.000 GMT+0100,1.08683,1.08684,1.08683,1.08684,2
20.04.2020 00:23:00.000 GMT+0100,1.08684,1.08694,1.08683,1.08693,5.92
20.04.2020 00:24:00.000 GMT+0100,1.08694,1.08696,1.08688,1.08696,58.83
20.04.2020 00:25:00.000 GMT+0100,1.08696,1.08696,1.08693,1.08693,13.79
20.04.2020 00:26:00.000 GMT+0100,1.08693,1.08694,1.08687,1.08687,21.38
20.04.2020 00:27:00.000 GMT+0100,1.08688,1.08688,1.08682,1.08683,36.75
20.04.2020 00:28:00.000 GMT+0100,1.08682,1.08685,1.08678,1.08678,57.66
20.04.2020 00:29:00.000 GMT+0100,1.08678,1.08682,1.08674,1.08678,52.84
20.04.2020 00:30:00.000 GMT+0100,1.08679,1.08681,1.08674,1.08678,65.75
