Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,1.24918,1.24918,1.24905,1.24909,35.44
20.04.2020 00:01:00.000 GMT+0100,1.24907,1.24921,1.24907,1.24921,11
20.04.2020 00:02:00.000 GMT+0100,1.24921,1.24921,1.24915,1.24915,7.25
20.04.2020 00:03:00.000 GMT+0100,1.24917,1.24919,1.24915,1.24915,30
20.04.2020 00:04:00.000 GMT+0100,1.24913,1.24914,1.24913,1.24914,7
20.04.2020 00:05:00.000 GMT+0100,1.24914,1.24915,1.24911,1.24915,7.25
20.04.2020 00:06:00.000 GMT+0100,1.24915,1.24915,1.24911,1.24913,9.25
20.04.2020 00:07:00.000 GMT+0100,1.24915,1.24915,1.24911,1.24911,2.35
20.04.2020 00:08:00.000 GMT+0100,1.24910,1.24912,1.24910,1.24912,29.15
20.04.2020 00:09:00.000 GMT+0100,1.24911,1.24925,1.24911,1.24920,36.62
20.04.2020 00:10:00.000 GMT+0100,1.24921,1.24921,1.24921,1.24921,1
20.04.2020 00:11:00.000 GMT+0100,1.24926,1.24932,1.24924,1.24925,19.35
20.04.2020 00:12:00.000 GMT+0100,1.24921,1.24921,1.24916,1.24916,11.7
20.04.2020 00:13:00.000 GMT+0100,1.24916,1.24916,1.24903,1.24904,38.04
20.04.2020 00:14:00.000 GMT+0100,1.24905,1.24911,1.24905,1.24906,8.92
20.04.2020 00:15:00.000 GMT+0100,1.24906,1.24906,1.24899,1.24899,20.47
20.04.2020 00:16:00.000 GMT+0100,1.24896,1.24901,1.24895,1.24898,28
20.04.2020 00:17:00.000 GMT+0100,1.24901,1.24903,1.24897,1.24897,20.42
20.04.2020 00:18:00.000 GMT+0100,1.24896,1.24896,1.24896,1.24896,1.5
20.04.2020 00:19:00.000 GMT+0100,1.24896,1.24896,1.24895,1.24896,69.07
20.04.2020 00:20:00.000 GMT+0100,1.24895,1.24899,1.24895,1.24896,19.73
20.04.2020 00:21:00.000 GMT+0100,1.24897,1.24903,1.24894,1.24903,35.64
20.04.2020 00:22:00.000 GMT+0100,1.24902,1.24902,1.24901,1.24901,4.96
20.04.2020 00:23:00.000 GMT+0100,1.24902,1.24902,1.24901,1.24901,7.75
20.04.2020 00:24:00.000 GMT+0100,1.24904,1.24904,1.24902,1.24902,9
20.04.2020 00:25:00.000 GMT+0100,1.24901,1.24901,1.24901,1.24901,17.5
20.04.2020 00:26:00.000 GMT+0100,1.24899,1.24902,1.24899,1.24902,8.62
20.04.2020 00:27:00.000 GMT+0100,1.24908,1.24908,1.24901,1.24901,12.87
20.04.2020 00:28:00.000 GMT+0100,1.24898,1.24898,1.24895,1.24895,28.03
20.04.2020 00:29:00.000 GMT+0100,1.24894,1.24897,1.24894,1.24896,18.25
20.04.2020 00:30:00.000 GMT+0100,1.24897,1.24908,1.24895,1.24906,19.04
20.04.2020 00:31:00.000 GMT+0100,1.24906,1.24906,1.24903,1.24906,26.77
20.04.2020 00:32:00.000 GMT+0100,1.24906,1.24906,1.24902,1.24903,14.82
20.04.2020 00:33:00.000 GMT+0100,1.24904,1.24904,1.24904,1.24904,1.25
20.04.2020 00:34:00.000 GMT+0100,1.24901,1.24901,1.24901,1.24901,9.94
20.04.2020 00:35:00.000 GMT+0100,1.24901,1.24905,1.24900,1.24901,48.35
20.04.2020 00:36:00.000 GMT+0100,1.24902,1.24902,1.24901,1.24901,3.72
20.04.2020 00:37:00.000 GMT+0100,1.24901,1.24906,1.24901,1.24904,6.6
20.04.2020 00:38:00.000 GMT+0100,1.24910,1.24912,1.24907,1.24907,24.83
20.04.2020 00:39:00.000 GMT+0100,1.24908,1.24908,1.24905,1.24907,13.77
20.04.2020 00:40:00.000 GMT+0100,1.24910,1.24917,1.24903,1.24903,28.49
20.04.2020 00:41:00.000 GMT+0100,1.24906,1.24907,1.24902,1.24907,24.21
20.04.2020 00:42:00.000 GMT+0100,1.24906,1.24911,1.24906,1.24908,30.2
20.04.2020 00:43:00.000 GMT+0100,1.24909,1.24915,1.24909,1.24913,9.37
20.04.2020 00:44:00.000 GMT+0100,1.24914,1.24914,1.24909,1.24913,13.37
20.04.2020 00:45:00.000 GMT+0100,1.24911,1.24913,1.24911,1.24913,4.25
