Local time,Open,High,Low,Close,Volume
20.04.2020 00:00:00.000 GMT+0100,0.96767,0.96775,0.96767,0.96775,47.49
20.04.2020 00:01:00.000 GMT+0100,0.96775,0.96775,0.96765,0.96765,41.47
20.04.2020 00:02:00.000 GMT+0100,0.96765,0.96766,0.96765,0.96765,18.46
20.04.2020 00:03:00.000 GMT+0100,0.96767,0.96767,0.96762,0.96763,25.82
20.04.2020 00:04:00.000 GMT+0100,0.96763,0.96766,0.96759,0.96759,18.84
20.04.2020 00:05:00.000 GMT+0100,0.96759,0.96765,0.96758,0.96762,54.04
20.04.2020 00:06:00.000 GMT+0100,0.96765,0.96769,0.96765,0.96769,11.76
20.04.2020 00:07:00.000 GMT+0100,0.96767,0.96767,0.96767,0.96767,1.85
20.04.2020 00:08:00.000 GMT+0100,0.96767,0.96768,0.96761,0.96762,34.63
20.04.2020 00:09:00.000 GMT+0100,0.96764,0.96764,0.96744,0.96746,40.32
20.04.2020 00:10:00.000 GMT+0100,0.96747,0.96747,0.96738,0.96741,51.92
20.04.2020 00:11:00.000 GMT+0100,0.96741,0.96746,0.96739,0.96746,37.25
20.04.2020 00:12:00.000 GMT+0100,0.96747,0.96755,0.96747,0.96754,45.4
20.04.2020 00:13:00.000 GMT+0100,0.96754,0.96765,0.96754,0.96765,29.89
20.04.2020 00:14:00.000 GMT+0100,0.96761,0.96765,0.96756,0.96761,38.74
20.04.2020 00:15:00.000 GMT+0100,0.96761,0.96771,0.96761,0.96769,37.32
20.04.2020 00:16:00.000 GMT+0100,0.96768,0.96771,0.96767,0.96768,27.7
20.04.2020 00:17:00.000 GMT+0100,0.96765,0.96770,0.96763,0.96767,47.57
20.04.2020 00:18:00.000 GMT+0100,0.96765,0.96769,0.96764,0.96764,23
20.04.2020 00:19:00.000 GMT+0100,0.96765,0.96767,0.96765,0.96767,8.25
20.04.2020 00:20:00.000 GMT+0100,0.96767,0.96767,0.96765,0.96766,14.39
20.04.2020 00:21:00.000 GMT+0100,0.96767,0.96770,0.96765,0.96765,11.52
20.04.2020 00:22:00.000 GMT+0100,0.96765,0.96765,0.96765,0.96765,4
20.04.2020 00:23:00.000 GMT+0100,0.96761,0.96763,0.96753,0.96753,20.12
